NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
13906,65108U,121.42257726,2.58e-06,0.0,297.97,26.324,83.3641,0.6744222,288.2187,76.0136,2.78046836,33190,Unknown,Unknown
13954,82113F,121.58287265,-6.2e-07,0.0,0.0,10.0831,313.4977,0.0022378,278.8299,96.002,0.97570231,11586,Unknown,Unknown
13961,81071F,120.50852065,5.03e-06,0.0,0.0,70.0452,97.2488,0.5772247,350.059,2.0267,1.98111976,31408,COSMOS 1285 DEB,Gpz Plus
13970,83026C,121.76674897,-1.32e-06,0.0,0.0,3.902,40.9859,0.1904574,200.949,8.6699,1.32156983,20310,Unknown,Unknown
13984,83030A,121.31266868,8.3e-07,0.0,0.0,13.5666,341.4814,0.0008006,116.041,84.0538,0.99853625,12634,SATCOM 1R,Gpz Plus
13999,80057G,121.57224656,-1.15e-05,0.0,0.0,64.545,3.6159,0.7095419,26.6467,356.8366,2.0130683,32173,COSMOS 1191 DEB,Gpz Plus
14085,83048B,121.90343161,6.5e-07,0.0,5.128,82.9401,115.0082,0.003314,346.4598,13.5666,13.76563422,10623,Unknown,Unknown
14115,82093F,121.61003631,-1.11e-06,0.0,0.0,7.3854,300.0342,0.0005932,301.9988,250.5101,1.0125692,11967,Unknown,Unknown
14133,83059B,121.33131331,-1.92e-06,0.0,0.0,13.3143,339.0682,0.0037921,111.2818,249.0623,0.99125785,12193,NAHUEL I2 (ANIK C2),Gpz Plus
14155,83063B,121.54037773,1.113e-05,0.0,32.477,82.0191,128.6058,0.0035074,281.9266,202.1314,14.43124196,19229,Unknown,Unknown
14160,83066A,121.80975476,-2.2e-06,0.0,0.0,10.1263,315.2113,0.0012002,337.895,198.4818,0.98350029,15074,GORIZONT 7,Gorizont
14178,83069H,121.87395314,6e-08,0.0,15.768,74.029,36.1917,0.0036593,265.4884,159.983,12.43694496,89905,Unknown,Unknown
14192,83070E,121.49042362,1.99e-06,0.0,0.0,70.6532,256.516,0.559457,251.7046,36.0404,2.03145523,23125,Unknown,Unknown
14222,83063C,121.89599803,4.059e-05,0.0,65.265,82.3718,28.2308,0.0018003,116.0782,244.2282,14.71288318,21711,Unknown,Unknown
14223,83063D,121.91678866,1.361e-05,0.0,41.35,81.6499,293.2929,0.0051376,280.6491,211.1218,14.40931091,18644,Unknown,Unknown
14228,81053HN,121.19442726,2.561e-05,0.0,221.81,82.9685,25.8292,0.0094712,29.6244,123.8893,13.83874514,11233,Unknown,Unknown
14241,83079B,121.80053331,4.04e-06,0.0,14.399,74.0608,10.578,0.0015867,86.6376,273.6593,14.373232,18568,Unknown,Unknown
14258,83084A,121.63080119,1.7e-07,0.0,0.0,64.6216,86.9362,0.0015166,11.8309,109.3635,2.13103186,32476,Unknown,Unknown
14259,83084B,121.31743928,-8e-08,0.0,0.0,64.7608,72.5501,0.002103,307.2425,161.6081,2.15434571,32725,Unknown,Unknown
14264,83084F,121.2902956,1.7e-07,0.0,0.0,64.5995,87.7258,0.0008689,219.0068,170.2497,2.12927461,32448,Unknown,Unknown
14333,83088F,121.50910479,-6.5e-07,0.0,0.0,10.6193,316.1757,0.0015808,136.8484,214.5294,0.97614503,11234,Unknown,Unknown
14346,81041D,121.90267645,0.00016734,0.0,152.09,74.0325,288.724,0.0008654,146.5225,3.6478,14.95202811,23346,Unknown,Unknown
14358,81053HR,121.87844525,7.611e-05,0.0,386.46,82.8045,284.8161,0.0171378,182.0438,299.6407,14.08530273,12536,Unknown,Unknown
14442,77121BE,121.88301458,3.404e-05,0.0,313.32,65.3693,72.7418,0.0015512,250.3065,123.1647,13.83972315,34538,Unknown,Unknown
14446,71015CQ,121.10592469,9.14e-06,0.0,121.77,65.5708,242.2512,0.006785,307.4303,229.4915,13.64532508,76089,Unknown,Unknown
14454,83109C,121.86536387,2.83e-06,0.0,10.775,81.1632,61.3197,0.0094228,337.8316,75.7174,14.26286556,15860,Unknown,Unknown
14466,70025NS,121.81293176,0.00011408,0.0,276.13,99.9556,228.3268,0.0048454,39.2432,321.2254,14.52507649,25280,Unknown,Unknown
14474,74089EQ,121.80331711,1.367e-05,0.0,1391.5,100.6871,78.4741,0.0284424,110.1885,286.1884,12.07965722,87099,Unknown,Unknown
